id,lat,lon,city,state
71622,12.904286,77.601288,Bangalore,Karnataka
71626,12.90659,77.590729,Bangalore,Karnataka
71630,12.90727,77.644819,Bangalore,Karnataka
71636,12.908349,77.692396,Bangalore,Karnataka
71638,12.908776,77.628224,Bangalore,Karnataka
71640,12.909117,80.06853,Pallavaram,Tamil Nadu
71644,12.911054,77.626116,Bangalore,Karnataka
71653,12.913511,77.559026,Bangalore,Karnataka
71658,12.914963,77.675459,Bangalore,Karnataka
71660,12.915393,77.638448,Bangalore,Karnataka
71663,12.916417,77.605414,Bangalore,Karnataka
71664,12.916562,77.597703,Bangalore,Karnataka
71665,12.916583,77.619837,Bangalore,Karnataka
71670,12.919891,77.651328,Bangalore,Karnataka
71676,12.922135,77.560004,Bangalore,Karnataka
71678,12.922665,74.85848,Mangalore,Karnataka
71691,12.924956,79.36685,Vellore,Tamil Nadu
71692,12.925138,80.110843,Pallavaram,Tamil Nadu
71696,12.92629,79.348401,Vellore,Tamil Nadu
71697,12.926342,77.605316,Bangalore,Karnataka
71704,12.928245,77.739471,Bangalore,Karnataka
71707,12.929337,77.514195,Bangalore,Karnataka
71709,12.92975,77.56843,Bangalore,Karnataka
71711,12.930088,77.614989,Bangalore,Karnataka
71718,12.932543,80.148588,Pallavaram,Tamil Nadu
71723,12.933686,77.611449,Bangalore,Karnataka
71732,12.937904,77.549494,Bangalore,Karnataka
71735,12.939517,77.625342,Bangalore,Karnataka
71739,12.940876,80.131769,Chennai,Tamil Nadu
71742,12.941538,77.564152,Bangalore,Karnataka
71746,12.942392,80.140803,Chennai,Tamil Nadu
71747,12.942446,80.253085,Chennai,Tamil Nadu
71752,12.943357,77.577117,Bangalore,Karnataka
71756,12.943899,80.183245,Pallavaram,Tamil Nadu
71768,12.94688,80.253849,Chennai,Tamil Nadu
71793,12.950961,80.174149,Chennai,Tamil Nadu
71798,12.952319,77.589114,Bangalore,Karnataka
71803,12.954416,80.160706,Chennai,Tamil Nadu
71826,12.95896,77.555732,Bangalore,Karnataka
71842,12.960946,77.528384,Bangalore,Karnataka
71851,12.963973,80.214444,Pallavaram,Tamil Nadu
71858,12.9667,77.717607,Bangalore,Karnataka
71863,12.967193,80.248454,Ambattur,Tamil Nadu
71883,12.971688,79.610328,Vellore,Tamil Nadu
71902,12.975909,77.597848,Bangalore,Karnataka
71909,12.978396,77.711218,Bangalore,Karnataka
71918,12.979634,80.218476,Pallavaram,Tamil Nadu
71925,12.982302,80.21813,Ambattur,Tamil Nadu
71930,12.984614,77.774036,Bangalore,Karnataka
71931,12.984632,77.572873,Bangalore,Karnataka
71945,12.987347,77.512544,Bangalore,Karnataka
71946,12.988236,77.508683,Bangalore,Karnataka
71967,12.994653,77.522486,Bangalore,Karnataka
71969,12.99498,80.187887,Pallavaram,Tamil Nadu
71977,12.99673,77.669832,Bangalore,Karnataka
71978,12.996824,77.540431,Bangalore,Karnataka
71980,12.99721,77.502592,Bangalore,Karnataka
71997,13.001531,77.631484,Bangalore,Karnataka
72017,13.008747,80.259187,Chennai,Tamil Nadu
72022,13.010431,77.536843,Bangalore,Karnataka
72027,13.01133,80.222933,Chennai,Tamil Nadu
72036,13.01248,76.125948,Mysore,Karnataka
72037,13.012751,80.222286,Chennai,Tamil Nadu
72042,13.014707,77.628583,Bangalore,Karnataka
72045,13.015294,77.666515,Bangalore,Karnataka
72050,13.018392,77.677994,Bangalore,Karnataka
72063,13.020607,77.552121,Bangalore,Karnataka
72066,13.021146,77.535878,Bangalore,Karnataka
72070,13.022136,77.600422,Bangalore,Karnataka
72071,13.022274,77.608136,Bangalore,Karnataka
72077,13.024759,77.58531,Bangalore,Karnataka
72080,13.025604,77.637265,Bangalore,Karnataka
72085,13.02599,80.175433,Chennai,Tamil Nadu
72088,13.026064,80.17521,Chennai,Tamil Nadu
72094,13.026286,77.635085,Bangalore,Karnataka
72102,13.027816,80.170915,Pallavaram,Tamil Nadu
72123,13.032685,77.569677,Bangalore,Karnataka
72126,13.033877,80.238183,Chennai,Tamil Nadu
72135,13.036887,80.255481,Chennai,Tamil Nadu
72137,13.037424,80.265798,Chennai,Tamil Nadu
72140,13.037802,80.19189,Chennai,Tamil Nadu
72143,13.037971,80.052393,Chennai,Tamil Nadu
72146,13.038887,80.132945,Chennai,Tamil Nadu
72154,13.040307,80.24236,Chennai,Tamil Nadu
72155,13.040307,80.247338,Pallavaram,Tamil Nadu
72158,13.040398,80.13104,Ambattur,Tamil Nadu
72165,13.042011,77.612398,Bangalore,Karnataka
72187,13.046168,80.218517,Chennai,Tamil Nadu
72209,13.053524,80.266549,Chennai,Tamil Nadu
72219,13.054967,80.264049,Chennai,Tamil Nadu
72227,13.056755,77.767591,Bangalore,Karnataka
72230,13.057928,77.586381,Bangalore,Karnataka
72231,13.05817,77.593835,Bangalore,Karnataka
72241,13.063778,77.559387,Bangalore,Karnataka
72277,13.075536,78.975734,Vellore,Tamil Nadu
72296,13.08131,77.592817,Bangalore,Karnataka
72298,13.082434,80.207599,Ambattur,Tamil Nadu
72320,13.088537,80.013536,Ambattur,Tamil Nadu
72322,13.088698,80.174558,Ambattur,Tamil Nadu
72341,13.097384,77.591403,Bangalore,Karnataka
72387,13.118945,80.149285,Ambattur,Tamil Nadu
72445,13.140856,80.104727,Ambattur,Tamil Nadu
72477,13.167013,80.250262,Ambattur,Tamil Nadu
72541,13.227492,77.688773,Bangalore,Karnataka
72573,13.279506,77.189097,Tumkur,Karnataka
